hora,temp,press,ventvel,rad,act
19,25.9,1010.2,0.9,-3.48,0.096
20,25.3,1010.2,0.8,-3.54,0.15
21,24.8,1009.9,0.5,-3.54,0.227
22,24.5,1009.1,0.4,-3.54,0.15
23,23.8,1008.7,0.1,-3.54,0.088
0,23.5,1008.6,0,-3.54,0.065
1,23.2,1008.9,0,-3.54,0.121
2,23,1009,0,-3.54,0.046
3,22.8,1009.5,0,-3.54,0.176
4,23.6,1010.3,0,45.26,0.296
5,26.4,1011,0.5,171,0.782
6,28.6,1011.5,1.3,303.6,1.078
7,29.8,1011.8,1.4,813.5,1.212
8,31.6,1011.6,1.5,2210,1.43
9,31.7,1010.9,2.1,2262,1.003
10,33.2,1009.7,1.4,2357,0.847
11,33.3,1008.9,1.5,2565,1.14
12,33.1,1008.6,1.9,2059,1.212
13,33,1008.3,1.6,1928,1.036
14,31.7,1008.7,0.6,792.3,0.87
15,30.6,1008.9,0.6,203.6,0.671
16,29.4,1009.5,0.3,5.051,0.73
17,28.4,1010,0.7,-3.54,0.469
18,27.3,1010.5,0.5,-3.54,0.039
19,26.6,1010.8,0.7,-3.54,0.033
20,25.7,1010.5,0.9,-3.54,0
21,25.2,1010.3,0.5,-3.54,0.01
22,25,1009.8,0.9,-3.54,0.026
23,24.5,1009,0.4,-3.54,0.078
